Serial_No	Message_length	low_ratio	no_of_words	avg_word_length
1	12	0.714285714286	3	3.66666666667
2	17	0.761904761905	5	3.4
3	8	0.0	0	0
4	10	0.666666666667	3	3.33333333333
5	11	0.714285714286	4	2.75
6	11	0.714285714286	4	2.75
7	21	0.730769230769	6	3.5
8	20	0.6	6	3.33333333333
9	3	0.666666666667	1	3.0
10	16	0.789473684211	4	4.0
11	4	0.0	0	0
12	27	0.676470588235	8	3.375
13	12	0.733333333333	4	3.0
14	4	0.75	1	4.0
15	21	0.703703703704	7	3.0
16	15	0.736842105263	5	3.0
17	4	0.0	0	0
18	14	0.764705882353	4	3.5
19	27	0.742857142857	9	3.0
20	15	0.65	6	2.5
21	36	0.772727272727	9	4.0
22	6	0.666666666667	1	5.0
23	11	0.714285714286	4	2.75
24	23	0.678571428571	6	3.83333333333
25	35	0.727272727273	10	3.3
26	8	0.0	0	0
27	3	0.666666666667	1	3.0
28	15	0.722222222222	4	3.75
29	2	0.5	1	2.0
30	31	0.810810810811	7	4.42857142857
31	4	0.0	0	0
32	43	0.792452830189	11	3.90909090909
33	26	0.75	7	3.71428571429
34	4	0.0	0	0
35	4	0.0	0	0
36	2	0.0	1	2.0
37	5	0.333333333333	2	2.5
38	12	0.785714285714	3	4.0
39	16	0.736842105263	4	4.0
40	11	0.769230769231	3	3.66666666667
41	10	0.818181818182	2	5.0
42	10	0.818181818182	2	5.0
43	31	0.692307692308	9	3.44444444444
44	3	0.666666666667	1	3.0
45	6	0.625	3	2.0
46	29	0.75	8	3.625
47	24	0.785714285714	5	4.8
48	12	0.0	0	0
49	6	0.714285714286	2	3.0
50	16	0.882352941176	2	8.0
51	12	0.0	0	0
52	2	0.5	1	2.0
53	21	0.833333333333	4	5.25
54	6	0.625	3	2.0
55	5	0.666666666667	2	2.5
56	18	0.695652173913	6	3.0
57	16	0.5	5	3.2
58	4	0.0	0	0
59	4	0.0	0	0
60	8	0.0	0	0
61	15	0.722222222222	4	3.75
62	26	0.862068965517	4	6.5
63	17	0.761904761905	5	3.4
64	11	0.769230769231	3	3.66666666667
