Serial_No	Message_length	low_ratio	no_of_words	avg_word_length
65	20	0.76	6	3.33333333333
66	33	0.651162790698	11	3.0
67	12	0.733333333333	4	3.0
68	12	0.785714285714	3	4.0
69	34	0.785714285714	9	3.77777777778
70	5	0.666666666667	2	2.5
71	25	0.766666666667	6	4.16666666667
72	12	0.6	4	3.0
73	16	0.75	5	3.2
74	8	0.0	0	0
75	16	0.714285714286	6	2.66666666667
76	16	0.789473684211	4	4.0
77	20	0.72	6	3.33333333333
78	8	0.0	0	0
79	15	0.736842105263	5	3.0
80	20	0.666666666667	8	2.5
81	6	0.625	3	2.0
82	12	0.785714285714	3	4.0
83	4	0.0	0	0
84	13	0.6875	4	3.25
85	7	0.75	2	3.5
86	37	0.760869565217	10	3.7
87	4	0.0	0	0
88	9	0.727272727273	3	3.0
89	27	0.8125	6	4.5
90	8	0.0	0	0
91	6	0.714285714286	2	3.0
92	16	0.714285714286	6	2.66666666667
93	3	0.666666666667	1	3.0
94	9	0.8	2	4.5
95	16	0.789473684211	4	4.0
96	27	0.764705882353	8	3.375
97	26	0.75	7	3.71428571429
98	49	0.783333333333	12	4.08333333333
99	17	0.8	4	4.25
100	3	0.666666666667	1	3.0
101	21	0.730769230769	6	3.5
102	38	0.666666666667	11	3.45454545455
103	43	0.716981132075	11	3.72727272727
104	3	0.666666666667	1	3.0
105	8	0.0	0	0
106	17	0.8	4	4.25
107	70	0.755813953488	17	4.11764705882
108	10	0.75	3	3.33333333333
109	22	0.740740740741	6	3.66666666667
110	12	0.846153846154	2	6.0
111	8	0.0	0	0
112	7	0.75	2	3.5
113	18	0.695652173913	6	3.0
114	23	0.785714285714	6	3.83333333333
115	40	0.74	10	3.9
116	8	0.777777777778	2	4.0
117	28	0.735294117647	7	4.0
118	8	0.666666666667	2	3.0
119	11	0.642857142857	4	2.75
120	9	0.727272727273	3	3.0
121	4	0.0	0	0
122	15	0.421052631579	5	2.2
123	7	0.75	2	3.5
124	8	0.0	0	0
125	0	0	0	0
126	13	0.733333333333	3	4.0
127	19	0.818181818182	4	4.75
128	22	0.708333333333	3	6.0
129	9	0.727272727273	3	3.0
130	20	0.68	6	3.16666666667
131	8	0.0	0	0
132	9	0.7	2	4.0
133	31	0.675675675676	7	4.14285714286
134	11	0.5	4	2.75
135	6	0.714285714286	2	3.0
136	27	0.71875	6	4.0
137	9	0.727272727273	3	3.0
138	16	0.789473684211	4	4.0
139	4	0.0	0	0
140	31	0.717948717949	9	3.44444444444
141	0	0	0	0
142	102	0.6	19	5.0
143	33	0.820512820513	7	4.71428571429
144	8	0.0	0	0
145	24	0.821428571429	5	4.8
146	6	0.714285714286	2	3.0
147	15	0.722222222222	4	3.75
148	19	0.583333333333	5	3.0
149	9	0.8	2	4.5
150	17	0.761904761905	5	3.4
151	29	0.742857142857	7	4.14285714286
152	11	0.769230769231	3	3.66666666667
153	21	0.791666666667	4	5.0
154	21	0.740740740741	7	3.0
155	35	0.785714285714	8	4.375
156	6	0.714285714286	2	3.0
157	21	0.952380952381	1	21.0
158	13	0.6875	4	3.25
159	11	0.769230769231	3	3.66666666667
160	11	0.714285714286	4	2.75
161	17	0.761904761905	5	3.4
162	30	0.756756756757	8	3.75
163	10	0.615384615385	4	2.5
164	22	0.769230769231	5	4.4
165	1	0.0	1	1.0
166	8	0.7	3	2.66666666667
167	3	0.666666666667	1	3.0
168	30	0.783783783784	8	3.75
169	0	0	0	0
170	3	0.333333333333	1	2.0
171	11	0.75	2	5.0
172	25	0.758620689655	5	4.8
173	25	0.774193548387	7	3.57142857143
174	11	0.818181818182	1	10.0
175	7	0.75	2	3.5
176	19	0.809523809524	3	6.0
177	30	0.722222222222	7	3.85714285714
178	23	0.592592592593	5	4.0
179	15	0.777777777778	4	3.75
180	26	0.735294117647	9	2.88888888889
181	14	0.764705882353	4	3.5
182	7	0.666666666667	3	2.33333333333
183	17	0.8	4	4.25
184	22	0.807692307692	5	4.4
185	45	0.649122807018	13	3.30769230769
186	2	0.5	1	2.0
187	13	0.6875	4	3.0
188	44	0.685185185185	11	3.63636363636
189	8	0.777777777778	2	4.0
190	8	0.5	3	2.66666666667
191	22	0.714285714286	7	3.14285714286
192	11	0.769230769231	3	3.66666666667
193	3	0.666666666667	1	3.0
194	9	0.666666666667	4	2.25
195	4	0.6	2	2.0
196	9	0.8	2	4.5
197	42	0.735849056604	12	3.41666666667
198	7	0.555555555556	3	2.0
199	17	0.761904761905	5	3.4
200	40	0.808510638298	8	4.875
201	31	0.589743589744	9	3.22222222222
202	13	0.8	3	4.33333333333
203	22	0.666666666667	6	3.66666666667
204	10	0.75	3	3.33333333333
205	14	0.75	3	4.66666666667
206	25	0.724137931034	5	4.8
207	45	0.796296296296	10	4.5
208	46	0.767857142857	11	4.18181818182
209	10	0.75	3	3.33333333333
210	21	0.72	5	4.0
211	15	0.764705882353	3	5.0
212	17	0.842105263158	3	5.66666666667
213	62	0.776315789474	15	4.13333333333
214	20	0.75	5	4.0
215	4	0.0	0	0
216	18	0.772727272727	5	3.6
217	9	0.727272727273	3	3.0
218	12	0.0	0	0
219	61	0.688311688312	17	3.41176470588
220	4	0.75	1	4.0
221	12	0.5	2	4.0
222	25	0.8	6	4.16666666667
223	9	0.8	2	4.5
224	37	0.813953488372	7	5.28571428571
225	18	0.565217391304	6	2.83333333333
226	28	0.794117647059	7	4.0
227	17	0.666666666667	5	3.4
228	21	0.76	5	4.2
229	12	0.846153846154	2	6.0
230	8	0.0	0	0
231	7	0.625	2	3.0
232	39	0.7	11	3.54545454545
233	8	0.0	0	0
234	5	0.5	2	2.0
235	10	0.583333333333	3	3.0
236	4	0.0	0	0
237	14	0.647058823529	4	3.25
238	4	0.0	0	0
239	5	0.8	1	5.0
240	3	0.666666666667	1	3.0
241	12	0.785714285714	3	4.0
242	27	0.575757575758	6	3.83333333333
243	3	0.666666666667	1	3.0
244	8	0.7	3	2.66666666667
245	11	0.642857142857	4	2.75
246	3	0.666666666667	1	3.0
247	16	0.47619047619	6	2.66666666667
248	8	0.0	0	0
249	12	0.6875	5	2.4
250	3	0.666666666667	1	3.0
251	8	0.777777777778	2	4.0
252	8	0.875	1	8.0
253	4	0.75	1	4.0
254	8	0.7	3	2.66666666667
255	13	0.75	4	3.25
256	4	0.75	1	4.0
257	7	0.75	2	3.5
258	9	0.545454545455	3	2.66666666667
259	32	0.775	9	3.55555555556
260	4	0.75	1	4.0
261	24	0.730769230769	3	6.66666666667
262	4	0.75	1	4.0
263	12	0.785714285714	3	4.0
264	19	0.782608695652	5	3.8
265	8	0.0	0	0
266	3	0.666666666667	1	3.0
267	19	0.64	7	2.71428571429
268	5	0.8	1	5.0
269	11	0.769230769231	3	3.66666666667
