Serial_No	Message_length	low_ratio	no_of_words	avg_word_length
281	31	0.692307692308	9	3.33333333333
282	8	0.0	0	0
283	22	0.75	7	3.14285714286
284	10	0.75	3	3.33333333333
285	8	0.0	0	0
286	9	0.727272727273	3	3.0
287	19	0.318181818182	4	2.5
288	13	0.75	4	3.25
289	26	0.548387096774	6	3.0
290	8	0.0	0	0
291	6	0.714285714286	2	3.0
292	16	0.0	0	0
293	19	0.75	6	3.16666666667
294	17	0.421052631579	3	3.0
295	21	0.740740740741	7	3.0
296	22	0.84	4	5.5
297	35	0.714285714286	8	3.875
298	8	0.666666666667	2	3.5
299	4	0.0	0	0
300	6	0.625	3	2.0
301	8	0.7	3	2.66666666667
302	11	0.571428571429	4	2.25
303	3	0.666666666667	1	3.0
304	10	0.666666666667	3	3.0
305	8	0.0	0	0
306	7	0.714285714286	1	6.0
307	19	0.64	6	3.0
308	23	0.642857142857	6	3.16666666667
309	17	0.8	4	4.25
310	17	0.444444444444	2	4.5
311	12	0.733333333333	4	3.0
312	9	0.8	2	4.5
313	9	0.8	2	4.5
314	12	0.785714285714	3	4.0
315	19	0.72	7	2.71428571429
316	5	0.666666666667	2	2.5
317	19	0.3	2	3.5
318	28	0.676470588235	7	3.42857142857
319	11	0.769230769231	3	3.66666666667
320	24	0.678571428571	5	4.0
321	13	0.705882352941	5	2.6
322	26	0.53125	7	2.57142857143
323	3	0.666666666667	1	3.0
324	34	0.780487804878	8	4.25
325	1	0.0	0	0
326	17	0.8	4	4.25
327	27	0.764705882353	8	3.375
328	19	0.782608695652	5	3.8
329	26	0.757575757576	7	3.71428571429
330	14	0.75	3	4.33333333333
331	8	0.7	3	2.66666666667
332	24	0.766666666667	7	3.42857142857
333	5	0.8	1	5.0
334	55	0.705882352941	14	3.5
335	8	0.777777777778	2	4.0
336	2	0.5	1	2.0
337	2	0.5	1	2.0
338	13	0.785714285714	2	6.0
